event_id,minute,grade_from,grade_to,basis_weight,basis_weight_target,stock_flow,filler_flow,steam_pressure,machine_speed,ash_content,caliper,recipe_headroom
1,0,FINE-80,SC-60,79.77,60.0,515.27,23.14,4.094,1018.8,4.581,0.1293,3.205
1,1,FINE-80,SC-60,74.101,60.0,492.96,22.45,3.844,1055.8,4.581,0.1293,3.205
1,2,FINE-80,SC-60,70.2,60.0,472.58,20.99,3.679,1085.3,4.581,0.1293,3.205
1,3,FINE-80,SC-60,67.344,60.0,464.9,19.41,3.624,1110.4,4.581,0.1293,3.205
1,4,FINE-80,SC-60,65.175,60.0,459.29,19.2,3.501,1124.4,4.581,0.1293,3.205
1,5,FINE-80,SC-60,63.172,60.0,449.6,19.2,3.439,1140.0,4.581,0.1293,3.205
1,6,FINE-80,SC-60,63.156,60.0,442.92,18.7,3.48,1139.2,4.581,0.1293,3.205
1,7,FINE-80,SC-60,62.328,60.0,440.82,18.74,3.371,1147.5,4.581,0.1293,3.205
1,8,FINE-80,SC-60,61.054,60.0,434.55,17.93,3.23,1160.0,4.581,0.1293,3.205
1,9,FINE-80,SC-60,60.968,60.0,431.6,19.27,3.364,1155.7,4.581,0.1293,3.205
1,10,FINE-80,SC-60,60.573,60.0,435.0,16.98,3.314,1169.3,4.581,0.1293,3.205
1,11,FINE-80,SC-60,60.366,60.0,431.43,17.14,3.311,1171.4,4.581,0.1293,3.205
1,12,FINE-80,SC-60,59.777,60.0,429.13,17.23,3.341,1172.8,4.581,0.1293,3.205
1,13,FINE-80,SC-60,60.115,60.0,429.56,16.49,3.305,1162.5,4.581,0.1293,3.205
1,14,FINE-80,SC-60,60.4,60.0,428.7,17.67,3.321,1168.1,4.581,0.1293,3.205
1,15,FINE-80,SC-60,60.928,60.0,430.96,17.57,3.206,1165.8,4.581,0.1293,3.205
1,16,FINE-80,SC-60,60.234,60.0,431.67,17.1,3.258,1173.3,4.581,0.1293,3.205
1,17,FINE-80,SC-60,60.121,60.0,432.14,16.8,3.374,1177.6,4.581,0.1293,3.205
1,18,FINE-80,SC-60,59.906,60.0,432.05,16.3,3.302,1173.7,4.581,0.1293,3.205
1,19,FINE-80,SC-60,59.864,60.0,431.7,16.64,3.219,1169.5,4.581,0.1293,3.205
1,20,FINE-80,SC-60,60.316,60.0,429.73,17.4,3.248,1167.8,4.581,0.1293,3.205
1,21,FINE-80,SC-60,60.111,60.0,428.85,16.92,3.252,1173.0,4.581,0.1293,3.205
1,22,FINE-80,SC-60,59.826,60.0,427.06,16.8,3.306,1163.7,4.581,0.1293,3.205
1,23,FINE-80,SC-60,59.706,60.0,432.25,17.26,3.279,1172.5,4.581,0.1293,3.205
1,24,FINE-80,SC-60,59.96,60.0,429.68,17.59,3.268,1165.3,4.581,0.1293,3.205
2,0,FINE-90,FINE-80,89.156,80.0,579.35,27.23,4.367,971.7,12.773,0.0806,3.47
2,1,FINE-90,FINE-80,88.257,80.0,575.02,27.51,4.129,989.1,12.773,0.0806,3.47
2,2,FINE-90,FINE-80,87.64,80.0,564.98,27.22,4.232,987.0,12.773,0.0806,3.47
2,3,FINE-90,FINE-80,85.932,80.0,558.86,26.24,4.094,982.8,12.773,0.0806,3.47
2,4,FINE-90,FINE-80,85.733,80.0,554.06,26.46,4.131,997.4,12.773,0.0806,3.47
2,5,FINE-90,FINE-80,85.103,80.0,550.18,26.14,4.191,1006.6,12.773,0.0806,3.47
2,6,FINE-90,FINE-80,84.682,80.0,548.09,25.3,4.125,1004.0,12.773,0.0806,3.47
2,7,FINE-90,FINE-80,83.565,80.0,545.75,25.84,4.054,993.7,12.773,0.0806,3.47
2,8,FINE-90,FINE-80,83.087,80.0,542.81,25.75,4.059,1001.1,12.773,0.0806,3.47
2,9,FINE-90,FINE-80,83.24,80.0,541.41,25.84,4.118,1011.8,12.773,0.0806,3.47
2,10,FINE-90,FINE-80,82.818,80.0,537.56,25.68,4.038,1003.7,12.773,0.0806,3.47
2,11,FINE-90,FINE-80,82.49,80.0,538.47,24.34,4.077,1010.9,12.773,0.0806,3.47
2,12,FINE-90,FINE-80,82.241,80.0,533.29,24.44,4.061,1013.9,12.773,0.0806,3.47
2,13,FINE-90,FINE-80,81.688,80.0,537.71,25.06,4.019,1006.6,12.773,0.0806,3.47
2,14,FINE-90,FINE-80,81.744,80.0,532.14,24.97,4.153,1012.0,12.773,0.0806,3.47
2,15,FINE-90,FINE-80,81.57,80.0,527.95,24.89,4.072,997.0,12.773,0.0806,3.47
2,16,FINE-90,FINE-80,81.097,80.0,526.44,26.49,3.935,1008.9,12.773,0.0806,3.47
2,17,FINE-90,FINE-80,81.72,80.0,528.58,24.78,4.041,1013.4,12.773,0.0806,3.47
2,18,FINE-90,FINE-80,81.169,80.0,526.32,25.01,3.995,1009.1,12.773,0.0806,3.47
2,19,FINE-90,FINE-80,80.552,80.0,527.43,24.87,4.068,1024.0,12.773,0.0806,3.47
2,20,FINE-90,FINE-80,81.002,80.0,526.28,24.67,3.983,1009.2,12.773,0.0806,3.47
2,21,FINE-90,FINE-80,80.42,80.0,524.59,24.15,4.014,1014.6,12.773,0.0806,3.47
2,22,FINE-90,FINE-80,80.866,80.0,522.51,24.65,4.043,1017.8,12.773,0.0806,3.47
2,23,FINE-90,FINE-80,80.905,80.0,520.7,23.85,4.059,1024.7,12.773,0.0806,3.47
2,24,FINE-90,FINE-80,80.248,80.0,522.42,24.1,3.954,1010.6,12.773,0.0806,3.47
3,0,LWC-65,FINE-90,65.688,90.0,444.36,22.17,3.531,1110.3,4.706,0.1114,0.619
3,1,LWC-65,FINE-90,72.251,90.0,488.21,23.55,3.699,1082.1,4.706,0.1114,0.619
3,2,LWC-65,FINE-90,76.757,90.0,516.19,24.98,3.954,1053.9,4.706,0.1114,0.619
3,3,LWC-65,FINE-90,78.644,90.0,530.61,24.85,3.971,1036.4,4.706,0.1114,0.619
3,4,LWC-65,FINE-90,83.987,90.0,543.13,25.71,4.012,1022.1,4.706,0.1114,0.619
3,5,LWC-65,FINE-90,84.293,90.0,552.89,26.28,4.191,997.8,4.706,0.1114,0.619
3,6,LWC-65,FINE-90,88.019,90.0,558.09,26.72,4.206,997.8,4.706,0.1114,0.619
3,7,LWC-65,FINE-90,87.827,90.0,563.79,27.06,4.274,995.9,4.706,0.1114,0.619
3,8,LWC-65,FINE-90,88.049,90.0,563.49,26.39,4.205,991.9,4.706,0.1114,0.619
3,9,LWC-65,FINE-90,88.907,90.0,568.2,26.4,4.281,990.3,4.706,0.1114,0.619
3,10,LWC-65,FINE-90,88.837,90.0,567.02,27.49,4.176,988.2,4.706,0.1114,0.619
3,11,LWC-65,FINE-90,88.804,90.0,570.02,25.85,4.3,992.5,4.706,0.1114,0.619
3,12,LWC-65,FINE-90,89.607,90.0,568.31,27.69,4.262,985.2,4.706,0.1114,0.619
3,13,LWC-65,FINE-90,90.339,90.0,568.0,26.78,4.209,981.1,4.706,0.1114,0.619
3,14,LWC-65,FINE-90,89.301,90.0,573.3,26.95,4.334,974.0,4.706,0.1114,0.619
3,15,LWC-65,FINE-90,89.248,90.0,571.78,26.62,4.196,974.6,4.706,0.1114,0.619
3,16,LWC-65,FINE-90,89.536,90.0,566.18,26.95,4.194,983.8,4.706,0.1114,0.619
3,17,LWC-65,FINE-90,90.694,90.0,568.94,27.62,4.31,986.1,4.706,0.1114,0.619
3,18,LWC-65,FINE-90,91.152,90.0,572.3,27.37,4.323,988.3,4.706,0.1114,0.619
3,19,LWC-65,FINE-90,90.246,90.0,567.53,27.24,4.344,976.3,4.706,0.1114,0.619
3,20,LWC-65,FINE-90,90.45,90.0,571.49,27.04,4.334,978.8,4.706,0.1114,0.619
3,21,LWC-65,FINE-90,89.43,90.0,571.3,26.27,4.371,981.5,4.706,0.1114,0.619
3,22,LWC-65,FINE-90,90.723,90.0,568.58,26.57,4.333,990.4,4.706,0.1114,0.619
3,23,LWC-65,FINE-90,90.452,90.0,569.97,26.83,4.292,980.7,4.706,0.1114,0.619
3,24,LWC-65,FINE-90,89.382,90.0,565.81,27.23,4.295,987.9,4.706,0.1114,0.619
4,0,SC-60,LWC-58,64.953,58.0,425.76,16.91,3.128,1148.1,8.035,0.0707,0.63
4,1,SC-60,LWC-58,63.306,58.0,426.98,18.45,3.141,1155.3,8.035,0.0707,0.63
4,2,SC-60,LWC-58,63.306,58.0,422.4,17.6,3.14,1148.9,8.035,0.0707,0.63
4,3,SC-60,LWC-58,60.791,58.0,424.77,17.1,3.13,1151.1,8.035,0.0707,0.63
